#1 - Actual Position	#1 - Desired Position
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
52.906	1000.000
296.281	1000.000
643.906	1000.000
833.312	1000.000
918.687	1000.000
960.469	1000.000
980.281	1000.000
989.219	1000.000
993.469	1000.000
995.719	1000.000
996.781	1000.000
997.469	1000.000
997.687	1000.000
998.219	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	1000.000
998.469	0.000
928.062	0.000
647.062	0.000
326.156	0.000
162.094	0.000
86.000	0.000
51.312	0.000
34.406	0.000
25.906	0.000
21.500	0.000
19.000	0.000
17.531	0.000
17.031	0.000
16.500	0.000
16.500	0.000
16.500	0.000
16.250	0.000
15.969	0.000
15.687	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
15.500	0.000
#4 - Actual Position	#3 - Actual Position
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
#4 - Actual Position	#3 - Actual Position
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.500	29999.500
9990.469	29999.500
9988.562	29997.844
9987.437	29996.469
9985.094	29993.312
9982.250	29989.844
9978.812	29985.469
9974.125	29980.187
9968.906	29973.656
9962.969	29966.062
9955.844	29956.969
9947.781	29946.687
9938.375	29934.781
9927.750	29921.281
9915.812	29906.594
9902.281	29890.625
9887.000	29873.406
9869.406	29855.594
9850.031	29837.125
9829.094	29817.781
9806.406	29796.187
9781.500	29771.937
9753.844	29745.031
9724.469	29715.187
9694.781	29682.750
9666.062	29647.906
9637.437	29610.375
9607.406	29571.781
9574.812	29534.437
9539.531	29496.500
9501.875	29455.562
9461.156	29410.250
9418.312	29361.719
9376.687	29309.875
9337.219	29258.219
9296.250	29208.875
9252.437	29156.500
9205.812	29098.875
9155.937	29037.031
9105.500	28973.969
9059.187	28914.094
9012.875	28852.187
8963.687	28785.344
8911.406	28715.312
8855.469	28647.875
8800.594	28580.375
8749.844	28507.875
8698.594	28431.594
8644.656	28357.625
8587.781	28284.844
8530.594	28207.625
8477.969	28127.000
8426.312	28050.156
8372.531	27972.500
8316.437	27890.344
8258.906	27808.469
8205.719	27731.687
8156.500	27651.250
8105.937	27566.875
8053.781	27485.750
7999.719	27405.281
7947.937	27320.437
7900.719	27235.375
7853.375	27154.906
7804.812	27070.844
7754.875	26983.062
7703.469	26900.031
7655.719	26817.219
7612.125	26730.250
7568.406	26645.031
7523.344	26562.250
7476.812	26474.875
7428.844	26386.125
7383.250	26302.156
7342.187	26215.312
7302.375	26124.875
7261.406	26038.781
7219.844	25951.687
7177.031	25860.500
7133.812	25772.969
7094.250	25687.750
7058.906	25597.344
7023.906	25507.187
6987.844	25420.187
6951.156	25328.969
6913.312	25236.594
6874.344	25149.375
6836.312	25058.375
6802.219	24964.437
6771.031	24875.594
6740.000	24785.219
6708.437	24691.844
6676.594	24602.687
6644.531	24511.906
6611.687	24416.781
6578.656	24325.812
6547.531	24234.812
6520.000	24139.281
6494.281	24046.781
6468.781	23954.906
6443.156	23858.750
6417.062	23766.250
6391.375	23675.750
6365.625	23580.156
6339.562	23486.219
6313.156	23394.062
6287.656	23297.187
6264.219	23202.469
6243.469	23110.156
6224.375	23012.750
6206.156	22916.875
6188.281	22824.469
6170.625	22727.937
6152.687	22633.031
6135.219	22540.125
6118.000	22442.437
6101.437	22346.312
6085.094	22252.687
6068.906	22154.687
6053.031	22058.219
6037.625	21963.812
6023.094	21864.906
6009.500	21769.187
5997.250	21676.094
5986.281	21577.969
5976.500	21481.687
5967.687	21386.844
5959.625	21287.469
5952.125	21191.094
5945.125	21096.094
5938.875	20996.281
5932.875	20899.719
5927.781	20804.625
5923.156	20705.875
5919.094	20610.781
5915.500	20515.219
5912.500	20415.469
5910.219	20319.687
5908.500	20223.781
5907.500	20123.812
5906.562	20027.937
5906.500	19931.156
5906.500	19831.094
5908.000	19736.719
5908.000	19641.312
5908.531	19542.062
5909.656	19447.156
5913.000	19350.219
5917.250	19250.281
5922.250	19155.781
5928.094	19058.719
5934.344	18958.781
5941.156	18864.250
5948.656	18767.969
5956.687	18669.687
5965.344	18576.156
5974.625	18479.187
5984.500	18380.375
5994.906	18286.469
6006.125	18189.469
6018.344	18091.031
6031.812	17996.844
6046.281	17899.719
6061.969	17801.781
6078.625	17709.625
6096.375	17613.969
6114.344	17516.531
6132.656	17423.719
6151.219	17327.125
6170.281	17229.625
6189.906	17137.187
6209.625	17041.094
6229.094	16943.812
6248.594	16851.812
6268.469	16756.906
6289.031	16661.375
6311.219	16570.250
6335.562	16475.562
6361.625	16379.281
6389.125	16288.219
6417.125	16194.094
6445.000	16098.187
6473.062	16007.094
6501.219	15913.312
6528.719	15817.937
6555.625	15728.875
6582.812	15637.469
6612.094	15542.937
6644.000	15453.000
6677.750	15361.687
6712.437	15266.906
6746.594	15177.281
6780.719	15087.375
6813.906	14993.094
6846.187	14903.062
6879.094	14814.906
6914.750	14722.969
6953.375	14633.906
6993.531	14546.750
7033.437	14455.594
7072.656	14365.000
7109.969	14278.937
7146.000	14189.219
7183.687	14098.562
7224.875	14012.625
7268.656	13924.562
7312.750	13834.062
7356.531	13749.812
7398.687	13665.125
7439.906	13576.500
7482.875	13490.500
7529.594	13406.719
7578.250	13319.000
7626.812	13231.844
7673.719	13149.844
7718.250	13064.531
7763.969	12976.875
7813.562	12894.594
7865.625	12812.719
7917.344	12727.562
7967.656	12644.969
8015.594	12565.312
8065.125	12481.969
8118.812	12397.156
8173.531	12318.094
8227.344	12237.969
8278.406	12154.281
8329.531	12073.344
8385.187	11995.687
8443.562	11914.594
8501.500	11832.344
8557.031	11756.531
8610.812	11680.500
8668.656	11600.531
8729.562	11521.437
8790.062	11447.062
8847.781	11370.062
8904.469	11290.156
8965.719	11214.344
9029.750	11141.594
9092.469	11065.187
9151.000	10986.812
9209.969	10913.719
9274.219	10842.344
9339.812	10767.937
9403.687	10692.562
9464.750	10622.875
9529.687	10552.500
9598.125	10478.906
9665.969	10404.687
9729.750	10336.281
9794.500	10267.781
9864.375	10196.031
9934.531	10123.594
10001.562	10056.406
10067.406	9989.531
10137.906	9919.812
10209.562	9848.875
10278.125	9784.156
10345.156	9721.187
10417.750	9655.062
10492.156	9586.625
10563.906	9521.000
10633.062	9459.562
10707.531	9395.844
10783.344	9329.375
10856.219	9263.687
10927.594	9203.812
11004.469	9144.031
11082.125	9081.125
11155.156	9016.500
11227.875	8954.969
11305.781	8898.312
11384.156	8840.375
11458.562	8780.187
11535.531	8719.094
11616.531	8662.594
11695.937	8608.531
11771.187	8552.344
11851.281	8494.094
11933.562	8435.219
12012.469	8380.344
12090.125	8328.906
12172.687	8276.000
12254.344	8220.812
12332.062	8164.594
12414.031	8111.344
12498.937	8062.344
12580.656	8012.687
12661.156	7961.031
12746.719	7908.312
12831.656	7856.031
12912.344	7808.969
12997.594	7764.781
13085.062	7718.719
13167.250	7670.750
13249.812	7621.750
13337.406	7573.031
13423.250	7528.656
13506.594	7486.969
13595.312	7444.062
13684.094	7399.437
13768.219	7354.094
13856.156	7308.469
13946.406	7265.656
14032.469	7227.656
14119.344	7189.719
14209.812	7150.281
14296.937	7109.437
14383.500	7068.312
14475.406	7027.031
14565.719	6987.969
14652.719	6953.187
14744.687	6919.875
14836.375	6885.781
14923.781	6850.594
15016.469	6815.094
15109.625	6779.250
15197.000	6743.781
15288.281	6710.625
15381.594	6680.969
15471.125	6652.594
15563.375	6623.750
15658.719	6594.031
15749.437	6563.687
15841.375	6533.312
15937.156	6503.312
16029.094	6473.312
16121.000	6444.625
16216.562	6418.625
16308.187	6395.281
16400.437	6372.875
16497.000	6350.219
16590.656	6327.344
16683.312	6304.312
16780.469	6280.875
16874.281	6258.094
16967.594	6235.656
17065.656	6213.156
17159.844	6191.437
17252.031	6170.937
17349.156	6152.219
17444.000	6135.437
17537.812	6120.062
17636.500	6105.375
17732.094	6091.031
17826.000	6076.562
17924.781	6062.625
18020.469	6049.000
18114.781	6035.875
18213.031	6022.812
18307.656	6010.031
18402.281	5997.937
18501.594	5986.781
18597.250	5976.312
18692.812	5966.469
18792.281	5957.031
18887.594	5948.281
18983.875	5940.156
19083.875	5932.625
19178.312	5926.094
19273.531	5920.312
19372.531	5915.406
19467.719	5911.250
19564.594	5907.781
19664.687	5904.937
19759.812	5903.031
19856.750	5901.500
19956.531	5901.062
20051.531	5900.500
20148.500	5900.500
20247.094	5900.500
20340.750	5902.000
20438.375	5902.000
20537.781	5903.719
20632.375	5906.687
20730.187	5910.875
20829.094	5916.187
20923.219	5922.219
21021.750	5929.250
21120.562	5937.031
21213.219	5945.656
21310.500	5955.250
21408.469	5965.562
21502.094	5976.750
21600.594	5988.500
21698.937	6000.719
21792.469	6013.469
21890.406	6026.875
21988.344	6041.281
22081.375	6056.406
22178.750	6071.719
22274.906	6087.062
22367.250	6102.937
22464.844	6118.906
22561.719	6134.875
22654.375	6151.094
22751.781	6167.625
22847.937	6185.437
22940.281	6204.781
23037.500	6225.594
23133.312	6248.187
23223.969	6272.062
23319.406	6296.594
23414.531	6321.469
23505.781	6347.187
23601.906	6372.500
23697.531	6397.437
23788.250	6421.625
23883.187	6445.219
23978.344	6469.625
24068.469	6496.469
24162.156	6525.312
24256.062	6556.250
24344.687	6588.031
24437.906	6620.469
24532.469	6653.281
24621.687	6685.406
24713.687	6716.094
24807.594	6745.437
24896.469	6776.281
24987.312	6809.719
25081.031	6845.844
25169.250	6883.406
25256.937	6921.281
25349.000	6958.781
25438.062	6994.812
25525.437	7029.250
25617.344	7065.156
25707.312	7104.406
25792.937	7146.281
25883.250	7189.406
25973.219	7232.781
26058.031	7274.312
26146.000	7313.250
26234.906	7352.594
26318.625	7395.594
26404.469	7441.844
26493.562	7489.312
26579.281	7536.531
26662.531	7581.281
26750.375	7623.969
26836.562	7669.406
26918.031	7718.594
27004.094	7769.250
27090.844	7819.781
27171.656	7867.281
27252.781	7912.406
27337.875	7960.750
27420.625	8013.344
27500.219	8067.687
27584.250	8121.500
27668.469	8172.219
